,observed_value,prediction,classifier,name_short,matrix,polarity,fold,feat_sel_method,feat_sel_quantile
7,1,1,MLP,Putrescine,CHCA,positive,7,kendall,0.16666666666666666
8,1,1,MLP,Pyridoxine,CHCA,positive,7,kendall,0.16666666666666666
9,1,1,MLP,Quinolinic acid,CHCA,positive,7,kendall,0.16666666666666666
10,1,0,MLP,Retinoic acid,CHCA,positive,7,kendall,0.16666666666666666
11,1,1,MLP,Riboflavin,CHCA,positive,7,kendall,0.16666666666666666
12,1,1,MLP,Ribulose 5-phosphate,CHCA,positive,7,kendall,0.16666666666666666
13,1,1,MLP,S-Adenosylhomocysteine,CHCA,positive,7,kendall,0.16666666666666666
14,0,1,MLP,Phosphocreatine,CHCA,positive,7,kendall,0.16666666666666666
15,0,1,MLP,Phosphoserine,CHCA,positive,7,kendall,0.16666666666666666
0,1,1,MLP,S-Adenosylmethionine,CHCA,positive,8,kendall,0.16666666666666666
1,1,1,MLP,SM d18:1-16:0,CHCA,positive,8,kendall,0.16666666666666666
2,1,1,MLP,Serine,CHCA,positive,8,kendall,0.16666666666666666
3,1,1,MLP,Serotonin,CHCA,positive,8,kendall,0.16666666666666666
4,1,1,MLP,Spermidine,CHCA,positive,8,kendall,0.16666666666666666
5,1,1,MLP,Succinic acid,CHCA,positive,8,kendall,0.16666666666666666
6,1,1,MLP,TG 15:0-18:1-15:0,CHCA,positive,8,kendall,0.16666666666666666
7,1,1,MLP,Taurine,CHCA,positive,8,kendall,0.16666666666666666
8,1,1,MLP,Taurocholic acid,CHCA,positive,8,kendall,0.16666666666666666
9,1,1,MLP,Tetrahydrofolic acid,CHCA,positive,8,kendall,0.16666666666666666
10,1,1,MLP,Thiamine,CHCA,positive,8,kendall,0.16666666666666666
11,1,1,MLP,Thymine,CHCA,positive,8,kendall,0.16666666666666666
12,1,1,MLP,Tryptophan,CHCA,positive,8,kendall,0.16666666666666666
13,1,1,MLP,Tyrosine,CHCA,positive,8,kendall,0.16666666666666666
14,0,0,MLP,Pyruvic acid,CHCA,positive,8,kendall,0.16666666666666666
15,0,1,MLP,Ribulose,CHCA,positive,8,kendall,0.16666666666666666
0,1,0,MLP,Uracil,CHCA,positive,9,kendall,0.16666666666666666
1,1,1,MLP,Ureidosuccinic acid,CHCA,positive,9,kendall,0.16666666666666666
2,1,1,MLP,Uric acid,CHCA,positive,9,kendall,0.16666666666666666
3,1,1,MLP,Uridine,CHCA,positive,9,kendall,0.16666666666666666
4,1,1,MLP,Uridine diphosphate,CHCA,positive,9,kendall,0.16666666666666666
5,1,1,MLP,Uridine diphosphate glucose,CHCA,positive,9,kendall,0.16666666666666666
6,1,1,MLP,Uridine diphosphate glucuronic acid,CHCA,positive,9,kendall,0.16666666666666666
7,1,0,MLP,Urocanic acid,CHCA,positive,9,kendall,0.16666666666666666
8,1,0,MLP,Valine,CHCA,positive,9,kendall,0.16666666666666666
9,1,1,MLP,Xanthine,CHCA,positive,9,kendall,0.16666666666666666
10,1,1,MLP,alpha-tocopherol,CHCA,positive,9,kendall,0.16666666666666666
11,1,0,MLP,cis-Aconitic acid,CHCA,positive,9,kendall,0.16666666666666666
12,1,1,MLP,gamma-Aminobutyric acid,CHCA,positive,9,kendall,0.16666666666666666
13,1,1,MLP,myo-Inositol,CHCA,positive,9,kendall,0.16666666666666666
14,0,1,MLP,Sulfo GalCer 18:0(2S-OH),CHCA,positive,9,kendall,0.16666666666666666
15,0,1,MLP,Uridine diphosphate-N-acetylglucosamine,CHCA,positive,9,kendall,0.16666666666666666
0,1,0,MLP,3-Hydroxyanthranilic acid,CHCA,positive,0,kendall,0.3333333333333333
1,1,1,MLP,3-Phosphoglyceric acid,CHCA,positive,0,kendall,0.3333333333333333
2,1,1,MLP,"4,5-Dihydroorotic acid",CHCA,positive,0,kendall,0.3333333333333333
3,1,0,MLP,4-Hydroxyproline,CHCA,positive,0,kendall,0.3333333333333333
4,1,1,MLP,6-Phosphogluconic acid,CHCA,positive,0,kendall,0.3333333333333333
5,1,1,MLP,Acetyl-CoA,CHCA,positive,0,kendall,0.3333333333333333
6,1,1,MLP,Acetylcarnitine,CHCA,positive,0,kendall,0.3333333333333333
7,1,1,MLP,Acetylcholine,CHCA,positive,0,kendall,0.3333333333333333
8,1,1,MLP,Adenine,CHCA,positive,0,kendall,0.3333333333333333
9,1,1,MLP,Adenosine diphosphate,CHCA,positive,0,kendall,0.3333333333333333
10,1,1,MLP,Adenosine monophosphate,CHCA,positive,0,kendall,0.3333333333333333
11,1,1,MLP,Agmatine,CHCA,positive,0,kendall,0.3333333333333333
12,1,1,MLP,Arginine,CHCA,positive,0,kendall,0.3333333333333333
13,1,1,MLP,Argininosuccinic acid,CHCA,positive,0,kendall,0.3333333333333333
14,1,1,MLP,Ascorbic acid,CHCA,positive,0,kendall,0.3333333333333333
15,0,0,MLP,2-Oxoglutaric acid,CHCA,positive,0,kendall,0.3333333333333333
16,0,1,MLP,3-Hydroxymethylglutaric acid,CHCA,positive,0,kendall,0.3333333333333333
17,0,1,MLP,5-Hydroxyindoleacetic acid,CHCA,positive,0,kendall,0.3333333333333333
0,1,1,MLP,Asparagine,CHCA,positive,1,kendall,0.3333333333333333
1,1,1,MLP,Aspartic acid,CHCA,positive,1,kendall,0.3333333333333333
2,1,1,MLP,Biotin,CHCA,positive,1,kendall,0.3333333333333333
3,1,1,MLP,CAR 16:0,CHCA,positive,1,kendall,0.3333333333333333
4,1,1,MLP,Cardiolipin 18:1,CHCA,positive,1,kendall,0.3333333333333333
5,1,1,MLP,Carnitine,CHCA,positive,1,kendall,0.3333333333333333
6,1,1,MLP,Carnosine,CHCA,positive,1,kendall,0.3333333333333333
7,1,1,MLP,Cer d8:1/22:0 Cer,CHCA,positive,1,kendall,0.3333333333333333
8,1,0,MLP,Cholesteryl ester 17:0,CHCA,positive,1,kendall,0.3333333333333333
9,1,1,MLP,Cholic acid,CHCA,positive,1,kendall,0.3333333333333333
10,1,1,MLP,Choline,CHCA,positive,1,kendall,0.3333333333333333
11,1,1,MLP,Citric acid,CHCA,positive,1,kendall,0.3333333333333333
12,1,1,MLP,Citrulline,CHCA,positive,1,kendall,0.3333333333333333
13,1,1,MLP,Coenzyme A,CHCA,positive,1,kendall,0.3333333333333333
14,1,0,MLP,Creatine,CHCA,positive,1,kendall,0.3333333333333333
15,0,1,MLP,Acetoacetic acid,CHCA,positive,1,kendall,0.3333333333333333
16,0,0,MLP,Arachidonic acid,CHCA,positive,1,kendall,0.3333333333333333
17,0,0,MLP,Butyric acid,CHCA,positive,1,kendall,0.3333333333333333
0,1,1,MLP,Creatinine,CHCA,positive,2,kendall,0.3333333333333333
1,1,1,MLP,Cyclic adenosine monophosphate,CHCA,positive,2,kendall,0.3333333333333333
2,1,1,MLP,Cysteine,CHCA,positive,2,kendall,0.3333333333333333
3,1,1,MLP,Cystine,CHCA,positive,2,kendall,0.3333333333333333
4,1,1,MLP,Cytidine,CHCA,positive,2,kendall,0.3333333333333333
5,1,1,MLP,Cytidine monophosphate,CHCA,positive,2,kendall,0.3333333333333333
6,1,1,MLP,Cytosine,CHCA,positive,2,kendall,0.3333333333333333
7,1,1,MLP,DG 18:0-22:6,CHCA,positive,2,kendall,0.3333333333333333
8,1,1,MLP,Dihydroxyacetone phosphate,CHCA,positive,2,kendall,0.3333333333333333
9,1,1,MLP,Dopamine,CHCA,positive,2,kendall,0.3333333333333333
10,1,1,MLP,Epinephrine,CHCA,positive,2,kendall,0.3333333333333333
11,1,1,MLP,Estradiol,CHCA,positive,2,kendall,0.3333333333333333
12,1,1,MLP,Flavin adenine dinucleotide,CHCA,positive,2,kendall,0.3333333333333333
13,1,1,MLP,Flavin mononucleotide,CHCA,positive,2,kendall,0.3333333333333333
14,1,1,MLP,Folic acid,CHCA,positive,2,kendall,0.3333333333333333
15,0,1,MLP,Carbamoyl phosphate,CHCA,positive,2,kendall,0.3333333333333333
16,0,1,MLP,Cholecalciferol,CHCA,positive,2,kendall,0.3333333333333333
17,0,1,MLP,Cholesterol,CHCA,positive,2,kendall,0.3333333333333333
0,1,0,MLP,"Fructose 1,6-bisphosphate",CHCA,positive,3,kendall,0.3333333333333333
1,1,1,MLP,GM3 Ganglioside 18:0,CHCA,positive,3,kendall,0.3333333333333333
2,1,0,MLP,GlcCer d18:1/18:0,CHCA,positive,3,kendall,0.3333333333333333
3,1,1,MLP,Gluconic acid,CHCA,positive,3,kendall,0.3333333333333333
4,1,1,MLP,Glucosamine,CHCA,positive,3,kendall,0.3333333333333333
5,1,1,MLP,Glucosamine 6-phosphate,CHCA,positive,3,kendall,0.3333333333333333
6,1,1,MLP,Glucose,CHCA,positive,3,kendall,0.3333333333333333
7,1,1,MLP,Glucose 6-phosphate,CHCA,positive,3,kendall,0.3333333333333333
8,1,0,MLP,Glucosyl cholesterol,CHCA,positive,3,kendall,0.3333333333333333
9,1,1,MLP,Glutamic acid,CHCA,positive,3,kendall,0.3333333333333333
10,1,1,MLP,Glutamine,CHCA,positive,3,kendall,0.3333333333333333
11,1,1,MLP,Glutathione,CHCA,positive,3,kendall,0.3333333333333333
12,1,1,MLP,Glycerol 3-phosphate,CHCA,positive,3,kendall,0.3333333333333333
13,1,1,MLP,Glycerophosphocholine,CHCA,positive,3,kendall,0.3333333333333333
14,1,1,MLP,Glycine,CHCA,positive,3,kendall,0.3333333333333333
15,0,1,MLP,Cholesteryl acetate,CHCA,positive,3,kendall,0.3333333333333333
16,0,1,MLP,Dihydroxyacetone,CHCA,positive,3,kendall,0.3333333333333333
17,0,1,MLP,Fumaric acid,CHCA,positive,3,kendall,0.3333333333333333
0,1,1,MLP,Histamine,CHCA,positive,4,kendall,0.3333333333333333
1,1,1,MLP,Histidine,CHCA,positive,4,kendall,0.3333333333333333
2,1,1,MLP,Homocysteine,CHCA,positive,4,kendall,0.3333333333333333
3,1,1,MLP,Hypoxanthine,CHCA,positive,4,kendall,0.3333333333333333
4,1,1,MLP,Kynurenine,CHCA,positive,4,kendall,0.3333333333333333
5,1,1,MLP,L-Dopa,CHCA,positive,4,kendall,0.3333333333333333
6,1,1,MLP,Lyso PA 18:1,CHCA,positive,4,kendall,0.3333333333333333
7,1,1,MLP,Lyso PC 15:0,CHCA,positive,4,kendall,0.3333333333333333
8,1,1,MLP,Lyso PE 18:0,CHCA,positive,4,kendall,0.3333333333333333
9,1,1,MLP,Lyso PG 16:0,CHCA,positive,4,kendall,0.3333333333333333
10,1,1,MLP,Lyso PI 17:1,CHCA,positive,4,kendall,0.3333333333333333
11,1,1,MLP,Lyso PS 17:1,CHCA,positive,4,kendall,0.3333333333333333
12,1,1,MLP,MG 18:1,CHCA,positive,4,kendall,0.3333333333333333
13,1,1,MLP,Malic acid,CHCA,positive,4,kendall,0.3333333333333333
14,0,1,MLP,Guanine,CHCA,positive,4,kendall,0.3333333333333333
15,0,1,MLP,Indole,CHCA,positive,4,kendall,0.3333333333333333
16,0,0,MLP,Kynurenic acid,CHCA,positive,4,kendall,0.3333333333333333
0,1,1,MLP,Malonic acid,CHCA,positive,5,kendall,0.3333333333333333
1,1,1,MLP,Melatonin,CHCA,positive,5,kendall,0.3333333333333333
2,1,1,MLP,Methionine,CHCA,positive,5,kendall,0.3333333333333333
3,1,0,MLP,Mevalonic acid,CHCA,positive,5,kendall,0.3333333333333333
4,1,1,MLP,Myo-inositol 1-phosphate,CHCA,positive,5,kendall,0.3333333333333333
5,1,1,MLP,N-Acetylaspartic acid,CHCA,positive,5,kendall,0.3333333333333333
6,1,1,MLP,N-Acetylaspartylglutamic acid,CHCA,positive,5,kendall,0.3333333333333333
7,1,0,MLP,N-Acetylgalactosamine 6-phosphate,CHCA,positive,5,kendall,0.3333333333333333
8,1,0,MLP,N-Acetylglucosamine,CHCA,positive,5,kendall,0.3333333333333333
9,1,1,MLP,"N6,N6,N6-Trimethyllysine",CHCA,positive,5,kendall,0.3333333333333333
10,1,1,MLP,Niacinamide,CHCA,positive,5,kendall,0.3333333333333333
11,1,1,MLP,Nicotinamide adenine dinucleotide (NAD),CHCA,positive,5,kendall,0.3333333333333333
12,1,1,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",CHCA,positive,5,kendall,0.3333333333333333
13,1,1,MLP,Nicotinamide riboside,CHCA,positive,5,kendall,0.3333333333333333
14,0,1,MLP,Lactic acid,CHCA,positive,5,kendall,0.3333333333333333
15,0,1,MLP,Orotic acid,CHCA,positive,5,kendall,0.3333333333333333
0,1,1,MLP,Nicotinamide ribotide,CHCA,positive,6,kendall,0.3333333333333333
1,1,1,MLP,Nicotinic acid,CHCA,positive,6,kendall,0.3333333333333333
2,1,1,MLP,Ornithine,CHCA,positive,6,kendall,0.3333333333333333
3,1,1,MLP,Oxidized glutathione,CHCA,positive,6,kendall,0.3333333333333333
4,1,1,MLP,PA 16:0-18:1,CHCA,positive,6,kendall,0.3333333333333333
5,1,1,MLP,PC (O) C16-18:1,CHCA,positive,6,kendall,0.3333333333333333
6,1,1,MLP,PC 15:0-18:1,CHCA,positive,6,kendall,0.3333333333333333
7,1,1,MLP,PE 18:0-20:4,CHCA,positive,6,kendall,0.3333333333333333
8,1,1,MLP,PG 16:0-18:1,CHCA,positive,6,kendall,0.3333333333333333
9,1,1,MLP,PI 16:0-18:1,CHCA,positive,6,kendall,0.3333333333333333
10,1,1,MLP,PI(5)P 18:1,CHCA,positive,6,kendall,0.3333333333333333
11,1,1,MLP,PS (POPS) 16:0-18:1,CHCA,positive,6,kendall,0.3333333333333333
12,1,1,MLP,Palmitoyl-CoA,CHCA,positive,6,kendall,0.3333333333333333
13,1,1,MLP,Pantetheine,CHCA,positive,6,kendall,0.3333333333333333
14,0,0,MLP,Oxalacetic acid,CHCA,positive,6,kendall,0.3333333333333333
15,0,0,MLP,Palmitic acid,CHCA,positive,6,kendall,0.3333333333333333
0,1,1,MLP,Pantothenic acid,CHCA,positive,7,kendall,0.3333333333333333
1,1,1,MLP,Phenylalanine,CHCA,positive,7,kendall,0.3333333333333333
2,1,1,MLP,Phosphoenolpyruvic acid,CHCA,positive,7,kendall,0.3333333333333333
3,1,1,MLP,Phylloquinone,CHCA,positive,7,kendall,0.3333333333333333
4,1,1,MLP,Proline,CHCA,positive,7,kendall,0.3333333333333333
5,1,1,MLP,Propionylcarnitine,CHCA,positive,7,kendall,0.3333333333333333
6,1,0,MLP,Prostaglandin E1,CHCA,positive,7,kendall,0.3333333333333333
7,1,1,MLP,Putrescine,CHCA,positive,7,kendall,0.3333333333333333
8,1,1,MLP,Pyridoxine,CHCA,positive,7,kendall,0.3333333333333333
9,1,1,MLP,Quinolinic acid,CHCA,positive,7,kendall,0.3333333333333333
10,1,0,MLP,Retinoic acid,CHCA,positive,7,kendall,0.3333333333333333
11,1,1,MLP,Riboflavin,CHCA,positive,7,kendall,0.3333333333333333
12,1,1,MLP,Ribulose 5-phosphate,CHCA,positive,7,kendall,0.3333333333333333
13,1,1,MLP,S-Adenosylhomocysteine,CHCA,positive,7,kendall,0.3333333333333333
14,0,1,MLP,Phosphocreatine,CHCA,positive,7,kendall,0.3333333333333333
15,0,1,MLP,Phosphoserine,CHCA,positive,7,kendall,0.3333333333333333
0,1,1,MLP,S-Adenosylmethionine,CHCA,positive,8,kendall,0.3333333333333333
1,1,1,MLP,SM d18:1-16:0,CHCA,positive,8,kendall,0.3333333333333333
2,1,1,MLP,Serine,CHCA,positive,8,kendall,0.3333333333333333
3,1,1,MLP,Serotonin,CHCA,positive,8,kendall,0.3333333333333333
4,1,1,MLP,Spermidine,CHCA,positive,8,kendall,0.3333333333333333
5,1,1,MLP,Succinic acid,CHCA,positive,8,kendall,0.3333333333333333
6,1,1,MLP,TG 15:0-18:1-15:0,CHCA,positive,8,kendall,0.3333333333333333
7,1,1,MLP,Taurine,CHCA,positive,8,kendall,0.3333333333333333
8,1,1,MLP,Taurocholic acid,CHCA,positive,8,kendall,0.3333333333333333
9,1,1,MLP,Tetrahydrofolic acid,CHCA,positive,8,kendall,0.3333333333333333
10,1,1,MLP,Thiamine,CHCA,positive,8,kendall,0.3333333333333333
11,1,1,MLP,Thymine,CHCA,positive,8,kendall,0.3333333333333333
12,1,1,MLP,Tryptophan,CHCA,positive,8,kendall,0.3333333333333333
13,1,1,MLP,Tyrosine,CHCA,positive,8,kendall,0.3333333333333333
14,0,0,MLP,Pyruvic acid,CHCA,positive,8,kendall,0.3333333333333333
15,0,1,MLP,Ribulose,CHCA,positive,8,kendall,0.3333333333333333
0,1,0,MLP,Uracil,CHCA,positive,9,kendall,0.3333333333333333
1,1,1,MLP,Ureidosuccinic acid,CHCA,positive,9,kendall,0.3333333333333333
2,1,1,MLP,Uric acid,CHCA,positive,9,kendall,0.3333333333333333
3,1,1,MLP,Uridine,CHCA,positive,9,kendall,0.3333333333333333
4,1,1,MLP,Uridine diphosphate,CHCA,positive,9,kendall,0.3333333333333333
5,1,1,MLP,Uridine diphosphate glucose,CHCA,positive,9,kendall,0.3333333333333333
6,1,1,MLP,Uridine diphosphate glucuronic acid,CHCA,positive,9,kendall,0.3333333333333333
7,1,0,MLP,Urocanic acid,CHCA,positive,9,kendall,0.3333333333333333
8,1,0,MLP,Valine,CHCA,positive,9,kendall,0.3333333333333333
9,1,1,MLP,Xanthine,CHCA,positive,9,kendall,0.3333333333333333
10,1,1,MLP,alpha-tocopherol,CHCA,positive,9,kendall,0.3333333333333333
11,1,0,MLP,cis-Aconitic acid,CHCA,positive,9,kendall,0.3333333333333333
12,1,1,MLP,gamma-Aminobutyric acid,CHCA,positive,9,kendall,0.3333333333333333
13,1,1,MLP,myo-Inositol,CHCA,positive,9,kendall,0.3333333333333333
14,0,1,MLP,Sulfo GalCer 18:0(2S-OH),CHCA,positive,9,kendall,0.3333333333333333
15,0,1,MLP,Uridine diphosphate-N-acetylglucosamine,CHCA,positive,9,kendall,0.3333333333333333
0,1,1,MLP,3-Hydroxyanthranilic acid,CHCA,positive,0,kendall,0.5
1,1,1,MLP,3-Phosphoglyceric acid,CHCA,positive,0,kendall,0.5
2,1,1,MLP,"4,5-Dihydroorotic acid",CHCA,positive,0,kendall,0.5
3,1,1,MLP,4-Hydroxyproline,CHCA,positive,0,kendall,0.5
4,1,1,MLP,6-Phosphogluconic acid,CHCA,positive,0,kendall,0.5
5,1,1,MLP,Acetyl-CoA,CHCA,positive,0,kendall,0.5
6,1,1,MLP,Acetylcarnitine,CHCA,positive,0,kendall,0.5
7,1,1,MLP,Acetylcholine,CHCA,positive,0,kendall,0.5
8,1,1,MLP,Adenine,CHCA,positive,0,kendall,0.5
9,1,1,MLP,Adenosine diphosphate,CHCA,positive,0,kendall,0.5
10,1,1,MLP,Adenosine monophosphate,CHCA,positive,0,kendall,0.5
11,1,1,MLP,Agmatine,CHCA,positive,0,kendall,0.5
12,1,1,MLP,Arginine,CHCA,positive,0,kendall,0.5
13,1,1,MLP,Argininosuccinic acid,CHCA,positive,0,kendall,0.5
14,1,1,MLP,Ascorbic acid,CHCA,positive,0,kendall,0.5
15,0,0,MLP,2-Oxoglutaric acid,CHCA,positive,0,kendall,0.5
16,0,1,MLP,3-Hydroxymethylglutaric acid,CHCA,positive,0,kendall,0.5
17,0,1,MLP,5-Hydroxyindoleacetic acid,CHCA,positive,0,kendall,0.5
0,1,1,MLP,Asparagine,CHCA,positive,1,kendall,0.5
1,1,1,MLP,Aspartic acid,CHCA,positive,1,kendall,0.5
2,1,1,MLP,Biotin,CHCA,positive,1,kendall,0.5
3,1,1,MLP,CAR 16:0,CHCA,positive,1,kendall,0.5
4,1,1,MLP,Cardiolipin 18:1,CHCA,positive,1,kendall,0.5
5,1,1,MLP,Carnitine,CHCA,positive,1,kendall,0.5
6,1,1,MLP,Carnosine,CHCA,positive,1,kendall,0.5
7,1,1,MLP,Cer d8:1/22:0 Cer,CHCA,positive,1,kendall,0.5
8,1,0,MLP,Cholesteryl ester 17:0,CHCA,positive,1,kendall,0.5
9,1,1,MLP,Cholic acid,CHCA,positive,1,kendall,0.5
10,1,1,MLP,Choline,CHCA,positive,1,kendall,0.5
11,1,1,MLP,Citric acid,CHCA,positive,1,kendall,0.5
12,1,1,MLP,Citrulline,CHCA,positive,1,kendall,0.5
13,1,1,MLP,Coenzyme A,CHCA,positive,1,kendall,0.5
14,1,1,MLP,Creatine,CHCA,positive,1,kendall,0.5
15,0,0,MLP,Acetoacetic acid,CHCA,positive,1,kendall,0.5
16,0,0,MLP,Arachidonic acid,CHCA,positive,1,kendall,0.5
17,0,0,MLP,Butyric acid,CHCA,positive,1,kendall,0.5
0,1,1,MLP,Creatinine,CHCA,positive,2,kendall,0.5
1,1,1,MLP,Cyclic adenosine monophosphate,CHCA,positive,2,kendall,0.5
2,1,1,MLP,Cysteine,CHCA,positive,2,kendall,0.5
3,1,1,MLP,Cystine,CHCA,positive,2,kendall,0.5
4,1,1,MLP,Cytidine,CHCA,positive,2,kendall,0.5
5,1,1,MLP,Cytidine monophosphate,CHCA,positive,2,kendall,0.5
6,1,1,MLP,Cytosine,CHCA,positive,2,kendall,0.5
7,1,1,MLP,DG 18:0-22:6,CHCA,positive,2,kendall,0.5
8,1,1,MLP,Dihydroxyacetone phosphate,CHCA,positive,2,kendall,0.5
9,1,1,MLP,Dopamine,CHCA,positive,2,kendall,0.5
10,1,1,MLP,Epinephrine,CHCA,positive,2,kendall,0.5
11,1,1,MLP,Estradiol,CHCA,positive,2,kendall,0.5
12,1,1,MLP,Flavin adenine dinucleotide,CHCA,positive,2,kendall,0.5
13,1,1,MLP,Flavin mononucleotide,CHCA,positive,2,kendall,0.5
14,1,1,MLP,Folic acid,CHCA,positive,2,kendall,0.5
15,0,1,MLP,Carbamoyl phosphate,CHCA,positive,2,kendall,0.5
16,0,1,MLP,Cholecalciferol,CHCA,positive,2,kendall,0.5
17,0,1,MLP,Cholesterol,CHCA,positive,2,kendall,0.5
0,1,1,MLP,"Fructose 1,6-bisphosphate",CHCA,positive,3,kendall,0.5
1,1,0,MLP,GM3 Ganglioside 18:0,CHCA,positive,3,kendall,0.5
2,1,0,MLP,GlcCer d18:1/18:0,CHCA,positive,3,kendall,0.5
3,1,1,MLP,Gluconic acid,CHCA,positive,3,kendall,0.5
4,1,1,MLP,Glucosamine,CHCA,positive,3,kendall,0.5
5,1,1,MLP,Glucosamine 6-phosphate,CHCA,positive,3,kendall,0.5
6,1,1,MLP,Glucose,CHCA,positive,3,kendall,0.5
7,1,1,MLP,Glucose 6-phosphate,CHCA,positive,3,kendall,0.5
8,1,0,MLP,Glucosyl cholesterol,CHCA,positive,3,kendall,0.5
9,1,1,MLP,Glutamic acid,CHCA,positive,3,kendall,0.5
10,1,1,MLP,Glutamine,CHCA,positive,3,kendall,0.5
11,1,1,MLP,Glutathione,CHCA,positive,3,kendall,0.5
12,1,1,MLP,Glycerol 3-phosphate,CHCA,positive,3,kendall,0.5
13,1,1,MLP,Glycerophosphocholine,CHCA,positive,3,kendall,0.5
14,1,1,MLP,Glycine,CHCA,positive,3,kendall,0.5
15,0,0,MLP,Cholesteryl acetate,CHCA,positive,3,kendall,0.5
16,0,1,MLP,Dihydroxyacetone,CHCA,positive,3,kendall,0.5
17,0,1,MLP,Fumaric acid,CHCA,positive,3,kendall,0.5
0,1,1,MLP,Histamine,CHCA,positive,4,kendall,0.5
1,1,1,MLP,Histidine,CHCA,positive,4,kendall,0.5
2,1,1,MLP,Homocysteine,CHCA,positive,4,kendall,0.5
3,1,1,MLP,Hypoxanthine,CHCA,positive,4,kendall,0.5
4,1,1,MLP,Kynurenine,CHCA,positive,4,kendall,0.5
5,1,1,MLP,L-Dopa,CHCA,positive,4,kendall,0.5
6,1,1,MLP,Lyso PA 18:1,CHCA,positive,4,kendall,0.5
7,1,1,MLP,Lyso PC 15:0,CHCA,positive,4,kendall,0.5
8,1,1,MLP,Lyso PE 18:0,CHCA,positive,4,kendall,0.5
9,1,1,MLP,Lyso PG 16:0,CHCA,positive,4,kendall,0.5
10,1,1,MLP,Lyso PI 17:1,CHCA,positive,4,kendall,0.5
11,1,1,MLP,Lyso PS 17:1,CHCA,positive,4,kendall,0.5
12,1,1,MLP,MG 18:1,CHCA,positive,4,kendall,0.5
13,1,1,MLP,Malic acid,CHCA,positive,4,kendall,0.5
14,0,1,MLP,Guanine,CHCA,positive,4,kendall,0.5
15,0,1,MLP,Indole,CHCA,positive,4,kendall,0.5
16,0,0,MLP,Kynurenic acid,CHCA,positive,4,kendall,0.5
0,1,1,MLP,Malonic acid,CHCA,positive,5,kendall,0.5
1,1,0,MLP,Melatonin,CHCA,positive,5,kendall,0.5
2,1,1,MLP,Methionine,CHCA,positive,5,kendall,0.5
3,1,0,MLP,Mevalonic acid,CHCA,positive,5,kendall,0.5
4,1,1,MLP,Myo-inositol 1-phosphate,CHCA,positive,5,kendall,0.5
5,1,1,MLP,N-Acetylaspartic acid,CHCA,positive,5,kendall,0.5
6,1,1,MLP,N-Acetylaspartylglutamic acid,CHCA,positive,5,kendall,0.5
7,1,0,MLP,N-Acetylgalactosamine 6-phosphate,CHCA,positive,5,kendall,0.5
8,1,0,MLP,N-Acetylglucosamine,CHCA,positive,5,kendall,0.5
9,1,1,MLP,"N6,N6,N6-Trimethyllysine",CHCA,positive,5,kendall,0.5
10,1,1,MLP,Niacinamide,CHCA,positive,5,kendall,0.5
11,1,1,MLP,Nicotinamide adenine dinucleotide (NAD),CHCA,positive,5,kendall,0.5
12,1,1,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",CHCA,positive,5,kendall,0.5
13,1,1,MLP,Nicotinamide riboside,CHCA,positive,5,kendall,0.5
14,0,1,MLP,Lactic acid,CHCA,positive,5,kendall,0.5
15,0,1,MLP,Orotic acid,CHCA,positive,5,kendall,0.5
0,1,1,MLP,Nicotinamide ribotide,CHCA,positive,6,kendall,0.5
1,1,1,MLP,Nicotinic acid,CHCA,positive,6,kendall,0.5
2,1,1,MLP,Ornithine,CHCA,positive,6,kendall,0.5
3,1,1,MLP,Oxidized glutathione,CHCA,positive,6,kendall,0.5
4,1,1,MLP,PA 16:0-18:1,CHCA,positive,6,kendall,0.5
5,1,1,MLP,PC (O) C16-18:1,CHCA,positive,6,kendall,0.5
6,1,1,MLP,PC 15:0-18:1,CHCA,positive,6,kendall,0.5
7,1,1,MLP,PE 18:0-20:4,CHCA,positive,6,kendall,0.5
8,1,1,MLP,PG 16:0-18:1,CHCA,positive,6,kendall,0.5
9,1,1,MLP,PI 16:0-18:1,CHCA,positive,6,kendall,0.5
10,1,1,MLP,PI(5)P 18:1,CHCA,positive,6,kendall,0.5
11,1,1,MLP,PS (POPS) 16:0-18:1,CHCA,positive,6,kendall,0.5
12,1,1,MLP,Palmitoyl-CoA,CHCA,positive,6,kendall,0.5
13,1,1,MLP,Pantetheine,CHCA,positive,6,kendall,0.5
14,0,0,MLP,Oxalacetic acid,CHCA,positive,6,kendall,0.5
15,0,0,MLP,Palmitic acid,CHCA,positive,6,kendall,0.5
0,1,1,MLP,Pantothenic acid,CHCA,positive,7,kendall,0.5
1,1,1,MLP,Phenylalanine,CHCA,positive,7,kendall,0.5
2,1,1,MLP,Phosphoenolpyruvic acid,CHCA,positive,7,kendall,0.5
3,1,1,MLP,Phylloquinone,CHCA,positive,7,kendall,0.5
4,1,1,MLP,Proline,CHCA,positive,7,kendall,0.5
5,1,1,MLP,Propionylcarnitine,CHCA,positive,7,kendall,0.5
6,1,1,MLP,Prostaglandin E1,CHCA,positive,7,kendall,0.5
7,1,1,MLP,Putrescine,CHCA,positive,7,kendall,0.5
8,1,1,MLP,Pyridoxine,CHCA,positive,7,kendall,0.5
9,1,1,MLP,Quinolinic acid,CHCA,positive,7,kendall,0.5
10,1,0,MLP,Retinoic acid,CHCA,positive,7,kendall,0.5
